ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	12215.9	16561.2	12137.3	16321.7	261.56641	4102.11279	350.74005	0.64032	1.06249	265.32977	7967.4668	4455	2	35	1	811.8	811.8	738.3803	14.388	12215.9	16561.2	12377.9657346407	16335.3959893713
405/561	12265.8	16553.3	12188.7	16315.2	206.37804	1229.33142	311.57513	1.04176	1.21674	316.64465	3566.84351	4560	1	40	1	801.432	801.432	221.27966	28.13474	12265.8	16553.3	12429.8478060323	16328.6921337188
405/561	12171.6	16573.8	12102.1	16342.9	371.23904	2951.76074	359.9762	0.95311	1.07011	203.0276	5744.6665	4777	1	17	1	804.672	804.672	531.31693	14.07819	12171.6	16573.8	12344.2447275146	16355.9706638027
405/561	12267.8	16530.9	12199.7	16301.5	355.02002	2153.17139	314.39304	0.90863	1.19803	373.15094	2957.23901	4857	1	18	1	802.728	802.728	387.57085	18.35673	12267.8	16530.9	12442.212469633	16314.4152271299
405/561	12214.2	16597.9	12146.4	16368.9	566.49921	3945.91089	336.9256	0.19154	1.02595	263.42014	6406.06006	4882	1	10	1	826.704	826.704	710.26396	10.82506	12214.2	16597.9	12389.0274122414	16381.7666470779
405/561	12104.2	16096.4	12104.2	16096.4	436.1402	3341.63452	353.36737	0.40588	1.22242	339.00714	5108.17236	55	1	108	1	811.512	811.512	601.49421	14.7173	12104.2	16096.4	12312.8531807127	16283.8331868515
405/561	12263	16637.2	12261.4	16635.6	570.14246	3544.37427	318.30112	1.03886	1.35984	246.19066	7449.91309	144	1	13	1	812.808	812.808	637.98737	10.56071	12263	16637.2	12470.4628050571	16822.8601292933
405/561	12307.9	16565.6	12305.1	16562.8	744.14563	4160.30371	301.85165	1.42365	1.22957	484.17636	7306.62744	174	1	6	1	840.024	840.024	748.85467	10.59853	12307.9	16565.6	12514.3009105808	16750.0017874321
405/561	12261.5	16580.3	12254.3	16573.3	515.41302	4075.34863	358.97543	0.65066	1.1951	356.51144	5150.86084	285	1	34	1	812.808	812.808	733.56275	12.96828	12261.5	16580.3	12464.0120304624	16760.2858885517
405/561	12267.1	16616.7	12259.4	16605.9	925.97516	5705.73682	316.89563	0.68749	1.11328	322.4303	11308.52832	328	1	44	1	852.336	852.336	1027.03263	7.77979	12267.1	16616.7	12469.3100860686	16792.8022378119
405/561	12125.4	16748.1	12118	16710.4	406.82767	2843.58545	337.51102	0.07472	1.11349	294.67673	6054.49121	615	1	52	1	842.616	842.616	511.84538	14.85932	12125.4	16748.1	12329.2327483165	16896.7437191598
405/561	12143.3	16593.1	12135.8	16554.8	846.44397	5333.30713	320.44925	0.58074	1.13138	226.20578	9455.92578	623	1	7	1	847.152	847.152	959.99528	7.58372	12143.3	16593.1	12347.0696354293	16741.1281458428
405/561	12226.1	16568.9	12218.4	16520.2	199.70532	14397.09766	352.83365	0.52083	1.1608	390.77231	24198.53516	832	4	1	1	823.824	823.824	2591.47758	7.25405	12226.1	16568.9	12430.6336559039	16706.1212024247
405/561	12148.3	16515.1	12139.7	16457.6	526.39783	4254.17432	362.91977	0.95985	1.11546	399.47803	6936.89014	988	1	13	1	827.712	827.712	765.75138	13.27204	12148.3	16515.1	12352.653634843	16643.2173441009
405/561	12210	16587	12201.1	16527.8	481.17029	5429.22559	350.29337	0.28964	1.22936	239.39185	11947.22559	1013	2	16	1	812.16	812.16	977.26061	10.8089	12210	16587	12414.1690488903	16713.368640241
405/561	12211.4	16566	12202.1	16504.2	317.15726	10663.51465	332.16251	0.04909	1.06889	349.35938	19478.01758	1054	4	66	1	854.928	854.928	1919.43264	8.14936	12211.4	16566	12415.3583472719	16689.6887608307
405/561	12176.6	16574.6	12166.3	16509.3	348.40134	8408.0166	373.08392	1.16293	1.17114	269.37817	12271.6123	1114	2	14	1	807.624	807.624	1513.44299	8.64106	12176.6	16574.6	12379.8354122647	16694.6718528478
405/561	12193.7	16603.3	12182.8	16537.2	521.09351	4498.29492	375.08197	1.31131	1.13728	322.9534	7064.15234	1130	1	42	1	814.104	814.104	809.69309	12.39427	12193.7	16603.3	12396.4093048203	16722.5406751384
