ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	17840.4	7961	17788	7756.9	307.87854	3192.82568	306.71902	1.15536	1.17064	295.35034	6488.76074	3304	2	97	1	-27	-27	574.70862	14.80629	17840.4	7961	18331.8723328164	8114.73261858638
405/561	17787.9	7991.1	17735.1	7785.2	185.70657	1055.45764	304.34543	1.17435	1.11731	281.4649	2133.21973	3336	1	176	1	-12	-12	189.98238	29.51454	17787.9	7991.1	18278.9650375196	8142.81688670207
405/561	17778.2	8057.3	17724.7	7848.2	226.07361	1639.04492	343.74039	0.35645	1.08076	285.98093	2398.64893	3396	1	109	1	-26	-26	295.02809	24.76526	17778.2	8057.3	18268.5510533609	8205.41287268162
405/561	17793.4	8116.6	17738.9	7903.6	166.03777	1086.21204	326.5231	0.22211	1.04118	251.2916	2149.36865	3470	1	180	1	-1	-1	195.51817	31.16829	17793.4	8116.6	18282.7332133348	8260.31552668164
405/561	16109.5	8562.8	16052.1	8345.8	198.37732	1607.61792	363.41714	1.18643	1.01007	333.79578	1588.10535	3555	1	209	1	-12	-12	289.37123	29.80678	16109.5	8562.8	16595.9118339474	8701.94565483438
405/561	17744.9	7979.5	17680	7757.4	380.74969	5409.60352	338.89206	0.26431	1.02642	359.98444	6955.42285	3781	2	133	1	-3	-3	973.72863	11.92283	17744.9	7979.5	18223.7496488708	8112.03891567176
405/561	17665.1	7975.5	17599.8	7754.3	449.15234	3435.51611	353.06866	0.82605	1.00071	330.02161	4928.05176	3834	1	351	1	0	0	618.3929	14.20453	17665.1	7975.5	18143.5337976254	8108.58757133422
405/561	17846.9	8079.1	17780.2	7856.8	448.68143	4770.76514	335.10199	0.12538	1.02417	341.89633	6677.46875	4016	2	119	1	0	0	858.73772	12.81204	17846.9	8079.1	18323.87516864	8209.88770682107
405/561	18199	8594.9	18128.7	8366.7	181.50652	1296.37817	341.17703	0.3382	1.03404	348.27139	1135.42725	4172	1	218	1	-7	-7	233.34807	33.01145	18199	8594.9	18672.3191888725	8718.76831056807
405/561	17737.1	8064.6	17665.9	7835.1	206.05989	1129.92346	298.94263	1.45374	1.17079	334.04935	2075.48999	4194	1	327	1	-22	-22	203.38622	28.83962	17737.1	8064.6	18209.5108311978	8187.02528216609
405/561	17859.1	8167.4	17789.8	7936.8	845.64575	8057.09375	312.0444	0.91768	1.14565	309.80176	13109.5625	4790	2	55	1	-24	-24	1450.27688	7.00457	17859.1	8167.4	18333.1332114626	8284.93151505935
405/561	17805.8	7996.3	17738.4	7767.7	278.4277	3597.56055	304.02029	1.19056	1.12005	275.26688	6055.00195	4908	2	285	1	-12	-12	647.5609	12.75507	17805.8	7996.3	18281.6648712737	8115.10155957133
405/561	16936.1	8537.4	16936.1	8537.4	180.07246	1439.06946	360.892	0.63575	1.22847	370.93399	3183.59204	8	1	964	1	-22.968	-22.968	259.0325	34.18077	16936.1	8537.4	17429.2706848222	8811.38521968474
405/561	17537.5	7949.7	17537.5	7949.7	412.8685	3468.56396	370.02325	1.07138	1.16859	479.63672	4383.48047	36	1	483	1	-17.784	-17.784	624.34151	17.68256	17537.5	7949.7	18030.6521570795	8223.51566656736
