ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	17324.1	24800	17324.1	24800	109.09989	1655.33936	418.43039	0.05011	0.77314	264.07089	1409.55981	56	2	1	1	213	213	297.96108	46.53512	17324.1	24800	17326.4443924033	24762.1334873894
405/561	17361.6	24737.4	17362.8	24738.3	175.75818	2824.74854	412.76236	0.33154	0.82151	300.3645	2571.17993	120	2	2	1	181	181	508.45474	28.84345	17361.6	24737.4	17365.0967482653	24700.5013515045
405/561	16950.3	24495	16960.8	24502.6	80.30637	736.13971	386.51392	1.14434	0.68544	271.08255	-39414.28125	263	1	75	1	176	176	132.50515	64.02212	16950.3	24495	16962.9902933943	24464.9529853866
405/561	17003.6	24665.3	17003.3	24676.8	138.99911	1481.54285	416.78409	0.12901	0.75395	185.86777	3926.43579	745	1	8	1	217	217	266.67771	32.26034	17003.6	24665.3	17005.1314734797	24639.6640870034
405/561	17195	24686.3	17181.6	24672.3	165.7009	15030.47559	397.56247	0.37996	0.7598	343.96295	16518.52344	2135	5	36	1	170	170	2705.48561	8.95196	17195	24686.3	17182.3967023567	24636.638010753
405/561	17094	24640	17105.9	24592.7	173.36479	1749.38831	405.52975	0.08326	0.78152	268.48428	1632.29492	2349	1	62	1	180	180	314.8899	30.74236	17094	24640	17106.5373922701	24557.2649313878
405/561	16652.6	24810.6	16651.9	24758.2	109.21116	1258.70154	433.39902	0.87387	0.85182	195.1721	-1220.71521	2489	1	62	1	222	222	226.56628	41.18676	16652.6	24810.6	16652.4331707182	24722.9133841396
405/561	17323.3	24672.3	17321.1	24621.7	258.53412	13080.75293	432.37112	0.96129	0.86549	274.18903	15339.03613	2516	5	75	1	215	215	2354.53553	10.77423	17323.3	24672.3	17321.6130708474	24586.4420143131
405/561	17134.4	24717	17130.9	24674.3	90.62546	1023.16809	428.95172	0.93965	0.86957	243.90225	1245.08276	2565	1	8	1	204	204	184.17026	54.2833	17134.4	24717	17131.3765933042	24639.0939727762
405/561	17363.5	24904	17358.2	24871.6	235.26064	2291.15063	398.39349	0.32762	0.7649	272.14139	2188.43481	2767	1	1	1	170	170	412.40711	23.36654	17363.5	24904	17358.5262164935	24836.6081688895
405/561	17380.8	24890.5	17406.5	24862.7	159.30873	1762.95325	424.67886	0.99568	0.88715	237.06989	2233.52661	3121	1	8	1	186	186	317.33158	31.51922	17380.8	24890.5	17406.562684855	24828.0835422761
405/561	16749.8	24479.9	16767.1	24457.2	157.96526	1518.62292	395.82593	1.27787	0.65357	176.8002	2678.59888	3184	1	4	1	208	208	273.35213	28.13854	16749.8	24479.9	16767.1157851566	24422.6503460144
405/561	17353.8	24714.8	17365.7	24695.2	175.06128	1741.74658	402.67761	0.95215	0.67974	285.29074	2327.4812	3224	1	61	1	213	213	313.51438	31.27084	17353.8	24714.8	17365.6860075704	24660.6927610863
405/561	17291.7	24738.5	17300.6	24719.8	249.43808	13559.27637	397.37057	0.8807	0.69688	265.08453	16913.8418	3367	5	9	1	195	195	2440.66975	8.84544	17291.7	24738.5	17300.4795526994	24685.4443949685
405/561	17278.7	24724.5	17300.1	24696.9	380.64951	7022.71289	389.61307	1.02999	0.69335	289.57355	8864.39453	3478	2	29	1	179	179	1264.08832	11.12785	17278.7	24724.5	17299.8969198975	24662.6620967931
405/561	16725.5	24704.9	16747.4	24676	131.27502	1250.08398	393.94772	1.29715	0.65431	177.29482	671.04895	3516	1	16	1	204	204	225.01512	33.34947	16725.5	24704.9	16747.1686311905	24641.8023911114
405/561	17284.1	24825.3	17308.1	24784.3	92.7377	1056.16089	430.82108	0.91289	0.86204	196.8441	5449.65771	4032	1	47	1	212	212	190.10896	48.21747	17284.1	24825.3	17307.4845003276	24750.6495455393
405/561	16838.4	24568.6	16841.8	24491	84.39262	778.13672	387.64642	1.40635	0.65221	202.68451	1147.89673	4384	1	59	1	192	192	140.06461	53.44869	16838.4	24568.6	16840.9224575684	24457.7227981723
405/561	17337.2	24846.3	17342.9	24776.9	106.64637	1233.47986	434.16321	0.86179	0.84882	261.19101	1265.31494	4545	1	36	1	225	225	222.02637	47.94194	17337.2	24846.3	17341.9026027836	24743.7935188368
405/561	16777.1	24930.5	16773.8	24868.9	68.27702	662.28534	397.59903	0.61653	0.72897	206.88937	1155.94836	4584	1	57	1	182	182	119.21136	66.04869	16777.1	24930.5	16772.773569637	24835.834873532
405/561	16930.3	24632.9	16906.6	24599	306.82803	3023.67334	400.75595	0.34092	0.75786	307.02423	2678.75757	5170	1	1	1	178	178	544.2612	19.30245	16930.3	24632.9	16905.1373279981	24566.5562543358
405/561	16903.4	24622.4	16877.6	24591.9	208.26868	1906.50757	386.24896	1.14101	0.68638	280.32547	1844.2926	5194	1	4	1	175	175	343.17136	26.44392	16903.4	24622.4	16876.1194614463	24559.4817033789
405/561	17230.9	24907.9	17206.1	24891	404.95206	10068.35547	421.1507	0.58902	0.83815	277.77121	10307.50977	5433	3	7	1	196	196	1812.30398	10.66231	17230.9	24907.9	17204.4415403683	24858.8351334337
405/561	17228.3	24920.9	17199.4	24888.1	317.53601	2946.85449	388.90442	0.97329	0.70183	150.52428	703.88196	5592	1	4	1	174	174	530.43381	14.5016	17228.3	24920.9	17197.6231744629	24856.1037333446
405/561	17484.4	24982.5	17453.1	24946	114.49078	1045.89355	385.85004	1.13607	0.6878	243.36967	787.93756	5614	1	58	1	174	174	188.26084	43.4496	17484.4	24982.5	17451.3067967904	24914.0270616342
405/561	16970.2	24633.5	16921.8	24548.9	200.93044	2047.86169	407.55618	0.07936	0.77765	256.71173	3149.80103	6006	1	29	1	186	186	368.6151	26.33244	16970.2	24633.5	16919.7149764449	24517.3427293391
405/561	17164.6	24640	17144.4	24532.2	460.11292	5238.75195	430.76633	0.54094	0.81345	334.76428	5911.74219	6447	1	34	1	229	229	942.97535	13.94428	17164.6	24640	17141.9866785563	24501.1103555072
405/561	16969.3	24668.9	16947.1	24573.1	300.31042	3092.88867	409.69153	0.10976	0.76933	250.50275	3387.74023	6568	1	1	1	194	194	556.71996	18.17599	16969.3	24668.9	16944.5966013578	24542.1386610998
405/561	17253.1	24854.2	17213.4	24762.3	432.32629	4704.34912	421.11816	0.33663	0.80467	281.68298	4798.13086	6799	1	1	1	208	208	846.78284	13.82578	17253.1	24854.2	17210.7246357971	24731.5836081402
