ChannelName	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	LateralLocalizationAccuracy	Xw	Yw	Xwc	Ywc
405/561	17937	21303.1	17876	21168.1	342.13663	7402.15527	368.75739	0.37829	1.41021	370.17245	9879.34473	19604	3	3	1	-498	-498	1332.38795	12.43804	17937	21303.1	17863.7920859909	21150.9617330421
405/561	18435.4	21456.9	18374.4	21322	194.58089	1413.66907	344.09933	1.0031	1.69764	221.16396	5569.98096	20887	1	35	1	-465	-465	254.46043	25.55208	18435.4	21456.9	18361.2369699111	21306.2221964743
405/561	18541.7	21167.8	18480.7	21032.9	162.30664	1181.88525	344.49231	1.16872	1.75163	330.76505	1885.92981	20892	1	70	1	-487	-487	212.73935	35.84459	18541.7	21167.8	18467.5332477128	21017.1274983583
405/561	19800.7	21551.2	19739.6	21416.3	284.1972	2209.14014	355.9277	0.25645	1.52741	192.29329	1927.51465	21133	1	4	1	-468	-468	397.64522	17.32896	19800.7	21551.2	19726.2538377555	21400.7830491667
405/561	17872.6	21248.7	17811.5	21113.8	218.42557	1590.30872	344.46811	1.14445	1.74379	253.88104	2237.66602	21557	1	32	1	-484	-484	286.25557	24.33637	17872.6	21248.7	17797.8381951239	21098.732648881
405/561	19791.1	21554.3	19730	21419.4	480.30301	7195.09668	355.4184	0.33222	1.54626	302.13196	7611.38135	22141	2	2	1	-473	-473	1295.1174	9.45733	19791.1	21554.3	19715.9034259835	21404.9519052971
405/561	17428.9	21648.8	17367.8	21513.9	222.29659	1863.18848	369.59155	0.71281	1.33396	164.22726	3658.39941	23078	1	65	1	-460	-460	335.37393	20.21627	17428.9	21648.8	17353.0057194393	21500.4454414001
405/561	19989.3	21161.3	19928.2	21026.4	146.74864	1283.90527	377.60651	1.11909	1.27022	232.3877	3593.73364	23951	1	67	1	-483	-483	231.10295	33.75269	19989.3	21161.3	19912.7553720575	21013.8710501664
405/561	18745.1	21385.9	18684.1	21251	111.52428	941.19153	370.86368	0.69201	1.34316	209.71095	3746.91357	24989	1	56	1	-476	-476	169.41448	41.7155	18745.1	21385.9	18667.8815244899	21239.5714729881
405/561	17721.2	21215.6	17660.1	21080.7	340.20834	10773.49609	365.52185	0.30524	1.41702	235.5345	28520.06641	25027	5	5	1	-479	-479	1939.2293	8.94341	17721.2	21215.6	17643.8531798414	21069.3117548958
405/561	17757.2	21311.2	17696.1	21176.3	114.88173	975.90643	372.082	0.67113	1.352	200.5977	1208.51392	25203	1	6	1	-491	-491	175.66316	39.79387	17757.2	21311.2	17679.7218838201	21165.0983202832
405/561	17879.2	21358	17818.2	21223.1	353.52405	2675.04785	351.16916	0.78446	1.65952	132.9216	4020.30908	25751	1	0	1	-494	-494	481.50861	12.83075	17879.2	21358	17801.4129007648	21212.4791782362
405/561	19955.8	21235	19894.7	21100.1	277.98697	2235.90723	362.05511	0.15513	1.44211	232.42914	1139.7373	26137	1	3	1	-467	-467	402.4633	18.93932	19955.8	21235	19877.624647554	21089.888284126
405/561	17958.9	21316.1	17897.8	21181.2	122.88948	885.99799	342.78284	1.18267	1.74905	208.02444	1488.25183	27079	1	64	1	-475	-475	159.47964	37.98862	17958.9	21316.1	17880.0204994572	21171.9865188254
405/561	18722	21446.9	18660.9	21312	122.74315	1043.79028	372.27856	0.66771	1.35343	75.20018	8498.64844	27567	1	3	1	-493	-493	187.88225	25.43834	18722	21446.9	18642.7552853431	21303.3035550743
405/561	19076.6	21269.6	19015.5	21134.7	651.16418	4917.52197	350.82291	0.71364	1.63724	488.77585	8834.82813	27657	1	75	1	-482	-482	885.15396	11.89141	19076.6	21269.6	18997.2878950969	21126.0989023146
405/561	18410.3	21309	18349.2	21174.1	195.91743	1459.69897	348.46179	0.89499	1.68222	252.71599	3934.10938	28086	1	39	1	-485	-485	262.74582	26.81415	18410.3	21309	18330.6665093202	21165.9533555668
405/561	17920.3	21415	17859.2	21280.1	375.80359	3168.18945	370.66803	0.56901	1.3711	356.67856	3324.50415	28596	1	0	1	-491	-491	570.2741	17.098	17920.3	21415	17840.284082122	21272.4935347695
405/561	18098.8	21411.5	18037.7	21276.6	200.77631	1687.31506	370.08539	0.70491	1.33753	163.00562	1378.08875	29011	1	5	1	-466	-466	303.71671	22.03198	18098.8	21411.5	18018.4725832905	21269.4330240104
405/561	20053.1	21351.2	19992.1	21216.3	201.6039	1645.74805	364.74747	0.15989	1.4505	348.55347	3437.97681	29932	1	4	1	-491	-491	296.23465	29.91533	20053.1	21351.2	19972.1802090415	21210.1081345942
405/561	19333.3	21366.2	19272.2	21231.3	556.16504	15095.18848	364.74133	0.22679	1.43372	260.55597	13166.23438	30473	4	3	1	-482	-482	2717.13393	6.37062	19333.3	21366.2	19251.8727605925	21225.6807542862
405/561	19830.8	21414.8	19769.8	21279.9	211.27299	3265.25024	369.69522	0.63158	1.35322	285.41229	5334.91211	31677	2	3	1	-473	-473	587.74504	20.05594	19830.8	21414.8	19748.5637949683	21275.5546392744
405/561	17989.5	21622.3	17928.4	21487.4	236.17859	3961.96826	365.6395	0.31705	1.41452	197.48645	7631.68359	31694	2	58	1	-478	-478	713.15429	14.24662	17989.5	21622.3	17907.1509377807	21483.0726209299
405/561	18278.4	21463.7	18217.3	21328.8	239.61266	8798.95605	343.45993	1.04893	1.70931	302.92664	77834.75781	32026	4	4	1	-465	-465	1583.81209	9.70114	18278.4	21463.7	18195.7997096322	21324.8237621714
405/561	17748	21406.8	17686.9	21271.9	130.88438	1100.04431	370.10181	0.5355	1.37711	150.26009	3138.23267	32101	1	29	1	-490	-490	198.00798	31.25468	17748	21406.8	17665.3429202814	21268.0030782595
405/561	17973.8	21609.1	17912.7	21474.1	234.04909	1746.37903	348.71918	0.95046	1.70016	201.97467	2941.15625	32224	1	7	1	-494	-494	314.34823	20.9021	17973.8	21609.1	17891.0497565401	21470.3331501648
405/561	17670.4	21239.2	17609.3	21104.3	214.32057	1514.5011	339.36176	1.33491	1.78409	550.65155	660.42511	32883	1	3	1	-468	-468	272.6102	34.60409	17670.4	21239.2	17587.1499765251	21101.2298987276
405/561	17339	21547.2	17277.9	21412.3	186.36867	1641.75757	378.90305	1.30232	1.23562	254.30363	2762.66309	33019	1	70	1	-469	-469	295.51636	28.11974	17339	21547.2	17255.646698475	21409.3736586732
405/561	17119.3	21153.3	17058.2	21018.4	125.2813	965.78876	354.45245	0.30684	1.53545	359.27792	-177.60481	33042	1	33	1	-462	-462	173.84198	47.56891	17119.3	21153.3	17035.9292275957	21015.4979699657
405/561	19592	21316.5	19530.9	21181.6	264.04227	2260.67969	373.54492	0.97509	1.28827	243.21872	5623.6665	33259	1	4	1	-461	-461	406.92234	20.15985	19592	21316.5	19508.4643254367	21178.927326593
405/561	18010	21619.6	17948.9	21484.7	308.56168	8527.03027	347.0556	0.78779	1.64405	330.23965	9127.62012	33444	3	4	1	-462	-462	1534.86545	9.39707	18010	21619.6	17926.3236420661	21482.2228391747
405/561	19644	21405.6	19582.9	21270.7	232.33432	3209.77783	346.52328	0.85683	1.66274	309.50757	3731.50537	33515	2	76	1	-466	-466	577.76001	18.72387	19644	21405.6	19560.2696256567	21268.2978683171
405/561	18280	21418.1	18219	21283.2	266.41452	2151.21582	362.76309	0.03276	1.49287	356.39606	-75156.54688	33534	1	0	1	-498	-498	387.21885	23.33489	18280	21418.1	18196.355168247	21280.8179460249
405/561	18576	21451.1	18514.9	21316.2	221.9007	1614.43921	344.3432	1.14718	1.74415	317.89539	1221.48071	33577	1	75	1	-483	-483	290.59906	26.32729	18576	21451.1	18492.2224452246	21313.8633842443
405/561	17937.2	21276.7	17876.1	21141.8	138.88777	984.0163	339.80453	1.30291	1.77543	269.53363	1325.3645	34375	1	14	1	-467	-467	177.12293	37.92749	17937.2	21276.7	17852.8142337245	21140.3064260568
405/561	19596.4	21300.2	19535.3	21165.3	146.45416	2735.60156	380.61673	1.26928	1.24782	309.09088	5471.95605	36695	2	6	1	-492	-492	492.40828	25.84742	19596.4	21300.2	19510.2350913076	21166.2549546425
405/561	18077	21346.7	18015.9	21211.8	127.57365	1082.43628	371.86105	0.6944	1.34593	66.98666	1754.02991	37098	1	5	1	-485	-485	194.83853	23.67603	18077	21346.7	17990.5242433605	21213.1798819169
405/561	19666.3	21433.9	19605.2	21299	107.60865	933.41071	375.987	0.89716	1.31344	160.23495	2304.92627	37426	1	12	1	-497	-497	168.01393	38.39657	19666.3	21433.9	19579.5708253092	21300.7256352077
405/561	19713.4	21213.9	19652.3	21078.9	132.68025	1898.44995	344.6004	1.11328	1.73444	226.37161	5847.38965	38115	2	49	1	-481	-481	341.72099	26.38514	19713.4	21213.9	19626.1372277715	21081.3516472803
405/561	19726.1	21334.1	19665	21199.2	221.76178	4346.94141	370.88739	0.64181	1.35485	177.69112	-5124.36426	38118	3	1	1	-483	-483	782.44945	15.11318	19726.1	21334.1	19638.8349005881	21201.654807587
405/561	17302.7	21449.6	17241.6	21314.7	266.97482	2277.47998	372.86548	0.73282	1.34041	133.27177	4145.75781	38431	1	2	1	-490	-490	409.9464	16.09545	17302.7	21449.6	17215.1919117559	21317.4844916394
405/561	17513.3	21353.7	17452.2	21218.8	205.74451	1591.40881	355.04779	0.40113	1.56396	172.98363	3663.19067	38532	1	5	1	-478	-478	286.45359	22.06757	17513.3	21353.7	17425.7134239251	21221.6908577199
405/561	19064	21300.4	19002.9	21165.5	168.45705	1433.40906	372.39218	0.66572	1.35426	408.8428	1749.38416	38608	1	2	1	-494	-494	258.01363	38.01819	19064	21300.4	18976.3543380202	21168.470889849
405/561	18935.9	21259.6	18874.9	21124.7	308.98434	7126.43066	345.87384	1.03864	1.71615	253.76709	11709.38086	39838	3	9	1	-482	-482	1282.75752	9.90009	18935.9	21259.6	18847.3949196225	21128.9654457023
405/561	18920.7	21610.2	18859.6	21475.3	178.38004	1283.78906	342.47885	1.21921	1.75956	363.7847	1501.65637	40856	1	68	1	-477	-477	231.08203	34.20407	18920.7	21610.2	18831.2961651452	21480.635832329
405/561	18056.6	21491.2	17995.5	21356.3	206.54112	1820.32971	378.99353	1.26718	1.24325	297.71555	2250.72559	41043	1	1	1	-476	-476	327.65935	27.33427	18056.6	21491.2	17967.0489559896	21361.832348229
405/561	17525.9	21444.4	17464.8	21309.5	149.56281	1268.47449	371.78265	0.68031	1.34891	168.45946	1614.33032	41385	1	38	1	-487	-487	228.32541	29.01137	17525.9	21444.4	17436.0793302298	21315.3916632726
405/561	18178.5	21354.1	18117.4	21219.2	146.03868	1282.1416	378.26318	1.05255	1.28656	193.8299	3485.32666	41663	1	6	1	-498	-498	230.78549	31.40127	18178.5	21354.1	18088.4597760972	21225.3836527385
405/561	18375	21152.4	18313.9	21017.5	103.67784	773.02612	348.58936	0.80676	1.65609	259.69788	3135.80908	41800	1	60	1	-476	-476	139.1447	49.17607	18375	21152.4	18284.851450072	21023.8275183235
405/561	19746	21208.2	19685	21073.3	137.45349	976.71466	340.30319	1.37347	1.80098	212.9046	3061.89453	42360	1	9	1	-479	-479	175.80864	34.57985	19746	21208.2	19655.5077613223	21080.2153831985
405/561	19809.8	21316.5	19748.7	21181.5	199.88177	1685.28601	370.68948	0.63127	1.35664	227.23375	4517.22363	42609	1	3	1	-483	-483	303.35148	25.1906	19809.8	21316.5	19719.010008655	21188.676668928
405/561	19305.9	21206.9	19244.8	21072	134.43864	1114.25427	367.52777	0.3718	1.40764	238.99112	1864.38953	42996	1	9	1	-488	-488	200.56577	37.07676	19305.9	21206.9	19214.8020733423	21079.5826338826
405/561	17603.9	21610.7	17542.8	21475.8	130.56224	1111.11108	372.41742	0.66529	1.35444	49.21185	1433.07373	43337	1	64	1	-494	-494	200	21.09693	17603.9	21610.7	17512.5301413234	21483.7402117532
405/561	19851.7	21200.4	19790.6	21065.5	142.13928	1210.24023	372.51071	0.66366	1.35512	208.79999	4172.54492	43660	1	63	1	-495	-495	217.84324	33.21972	19851.7	21200.4	19760.0720377374	21073.7787979083
405/561	17466.5	21448.8	17405.5	21313.9	482.72556	5543.22363	367.21341	0.46248	1.38468	167.39752	6852.07471	43920	2	1	1	-473	-473	997.78025	10.16723	17466.5	21448.8	17374.7638995456	21322.4512604482
405/561	18851	21403.1	18789.9	21268.2	121.25943	882.65796	344.42804	1.24407	1.77557	262.10724	2594.61401	44485	1	55	1	-496	-496	158.87843	42.56717	18851	21403.1	18758.7104206527	21277.3430810363
405/561	19833.8	21312.5	19772.8	21177.6	124.83206	1025.53381	365.90805	0.3783	1.40047	270.80896	2046.27942	45824	1	65	1	-472	-472	184.59609	42.00361	19833.8	21312.5	19740.529064197	21188.1441677998
405/561	19760	21221.5	19698.9	21086.6	122.84291	1015.32898	367.01886	0.43769	1.38997	165.47299	5435.27246	46465	1	50	1	-475	-475	182.75922	34.45971	19760	21221.5	19666.1079705922	21097.8141284048
405/561	19687.3	21202.7	19626.2	21067.8	189.90892	1363.18188	342.03006	1.14466	1.73361	135.05125	2282.82129	46846	1	63	1	-466	-466	245.37274	21.59831	19687.3	21202.7	19593.097153997	21079.4121009657
405/561	17993.6	21376.7	17932.5	21241.8	114.94855	2231.19482	347.71609	0.74514	1.63402	151.84729	4666.93701	47561	2	33	1	-462	-462	401.61507	19.60038	17993.6	21376.7	17898.8116247142	21254.1584557942
405/561	19324.3	21333.2	19263.2	21198.3	545.39752	10344.83008	348.56558	0.95586	1.70121	347.35608	13379.45898	48121	3	73	1	-494	-494	1862.06941	8.14825	19324.3	21333.2	19229.0509449594	21211.2425512222
405/561	19801.2	21378.3	19740.2	21243.4	106.71909	825.66809	355.09268	0.34657	1.54897	281.75266	1129.96118	48828	1	47	1	-472	-472	148.62026	49.63318	19801.2	21378.3	19705.4666569078	21257.0793771741
405/561	19632.4	21456.3	19571.3	21321.4	252.98392	2022.83289	360.98868	0.02441	1.47174	230.34421	4077.32275	49017	1	60	1	-475	-475	364.10992	20.51278	19632.4	21456.3	19536.4099452905	21335.276236018
405/561	17967.5	21229.6	17906.4	21094.6	114.91871	971.79523	371.23767	0.7701	1.32651	185.03954	3174.21973	49118	1	13	1	-469	-469	174.92314	38.42042	17967.5	21229.6	17871.4261096282	21108.5814156845
405/561	18538.1	21401.2	18477	21266.3	200.74675	1500.69763	349.04578	0.72337	1.63304	311.12061	3380.99854	49542	1	1	1	-469	-469	270.12557	28.61374	18538.1	21401.2	18441.6734736691	21280.7228084455
405/561	19366.8	21570.3	19305.8	21435.4	140.05075	1177.62854	370.18726	0.70324	1.33827	175.01347	2597.25928	49626	1	9	1	-468	-468	211.97314	31.28125	19366.8	21570.3	19270.4034781697	21449.9102245291
405/561	19759.3	21410.4	19698.2	21275.5	219.63982	1613.23877	345.98227	1.14724	1.75076	202.79445	3207.15283	49885	1	5	1	-497	-497	290.38298	22.14766	19759.3	21410.4	19662.587377919	21290.2796951594
405/561	19547.6	21140.1	19486.5	21005.2	84.40354	750.71844	380.73105	1.37408	1.22651	326.06674	852.33093	50091	1	47	1	-478	-478	135.12932	66.50334	19547.6	21140.1	19450.7151942271	21020.1939555473
405/561	19126.6	21264.4	19065.6	21129.5	197.40605	1605.48352	364.06821	0.3258	1.40673	382.8873	2374.1521	50843	1	72	1	-462	-462	288.98703	31.78826	19126.6	21264.4	19029.1843157396	21145.2755942999
405/561	19752.3	21400.6	19691.2	21265.7	402.93137	3310.97583	365.95065	0.1684	1.45249	166.96162	11011.92773	51549	1	7	1	-500	-500	595.97565	12.35906	19752.3	21400.6	19654.1886432733	21282.208669094
405/561	19066.5	21234.9	19005.4	21100	209.20216	1715.54968	365.57678	0.14779	1.45639	310.16672	4253.85352	52407	1	5	1	-500	-500	308.79894	27.49435	19066.5	21234.9	18967.6601955713	21117.3985683826
405/561	20006.8	21138.9	19945.7	21003.9	213.01393	1804.47852	371.5625	0.68012	1.34823	186.95789	2567.61841	53011	1	16	1	-485	-485	324.80613	22.03183	20006.8	21138.9	19907.4443443312	21021.924347379
405/561	17811.6	21458.6	17750.5	21323.7	320.89114	4592.52637	345.7345	0.94751	1.68727	195.58643	12096.20215	53124	2	60	1	-470	-470	826.65475	11.35539	17811.6	21458.6	17712.147551034	21341.8413587648
405/561	19365.3	21167.5	19304.2	21032.6	164.80417	1431.0918	376.19211	0.96255	1.29967	216.54575	2934.56641	53295	1	11	1	-491	-491	257.59652	29.43741	19365.3	21167.5	19265.7009039647	21050.9183908769
405/561	19709.8	21416.6	19648.7	21281.7	231.87006	8712.48828	355.55887	0.40916	1.56812	217.84499	13336.79492	54319	3	5	1	-484	-484	1568.24789	8.26799	19709.8	21416.6	19609.3183367453	21301.0775368663
405/561	19789.6	21445.9	19728.5	21311	111.76006	864.99835	355.16028	0.37224	1.55635	281.46194	1806.42297	54531	1	64	1	-476	-476	155.6997	47.47504	19789.6	21445.9	19688.9346618427	21330.5966011166
405/561	19253.4	21154.3	19192.3	21019.4	97.93559	831.30157	371.93674	0.67367	1.35094	166.24953	20292.03711	56383	1	89	1	-489	-489	149.63428	42.57597	19253.4	21154.3	19151.1157214716	21040.907122225
405/561	18951.1	21127	18890.1	20992.1	111.26673	875.27594	358.05511	0.31705	1.5519	52.57863	4116.28467	57937	1	72	1	-493	-493	157.54967	24.51529	18951.1	21127	18847.5366501583	21015.2056501164
405/561	18028.4	21196.8	17967.3	21061.8	545.41858	4403.85059	362.7533	0.07777	1.46435	412.53232	5201.30322	58167	1	13	1	-484	-484	792.69311	13.02256	18028.4	21196.8	17924.53088569	21085.1418733537
405/561	19973.9	21578.2	19912.8	21443.3	249.77304	3894.16699	351.40305	0.72613	1.64316	261.74564	5584.1123	58234	2	4	1	-488	-488	700.95006	15.04286	19973.9	21578.2	19869.9708639825	21466.7106681017
405/561	19906	21464.4	19844.9	21329.5	314.1445	2303.14014	345.6651	1.01505	1.70794	417.19717	4258.05127	58550	1	4	1	-478	-478	414.56522	21.43512	19906	21464.4	19801.7872773225	21353.2350221352
405/561	19711.5	21160.1	19650.4	21025.2	243.07083	3374.90479	357.56516	0.24291	1.52993	406.03293	6258.26758	59585	2	62	1	-480	-480	607.48286	21.28121	19711.5	21160.1	19606.3525999716	21049.9960883495
405/561	19749.1	21292.4	19688	21157.5	192.16454	4139.58301	359.05829	0.16708	1.51504	322.38647	8595.74707	60330	2	3	1	-483	-483	745.12494	16.09434	19749.1	21292.4	19643.2741696944	21183.0585990457
405/561	19317.3	21371.9	19256.2	21237	126.39198	1074.25696	372.18115	0.66941	1.35272	238.20305	4073.74658	60783	1	31	1	-492	-492	193.36625	39.22284	19317.3	21371.9	19211.0592931297	21263.0217241376
